id,unit,prompt,answer,alt_answers,note
T-001,,両目で観察する顕微鏡で、観察物を立体的に見ることができる顕微鏡をなんというか。,双眼実体顕微鏡
T-067,, 蒸発に対して、液体の表面だけでなく、内部からも状態変化が起こり、気体になる現象を何というか。, 沸騰
T-068,, 加熱によって、固体が液体に変化する温度を何というか。, 融点
T-069,, 液体が沸騰して気体に変化するときの温度を何というか。, 沸点
T-070,, 水や塩化ナトリウムなどのように、1種類の物質からできているものを何というか。, 純粋な物質
T-071,, 食塩水や空気などのように、2種類以上の物質が混ざっているものを何というか。, 混合物
T-072,, 液体を沸騰させ、出てきた気体を冷やして再び液体にして集める操作を何というか。, 蒸留
T-073,, 食塩水の食塩のように、水溶液に溶けている物質を何というか。, 溶質
T-074,, 食塩水の水のように、溶かしている水を何というか。, 溶媒
T-075,, 食塩が水に溶ける現象を何というか。, 溶解
T-076,, 食塩水のように、物質が水に溶けた液体を何というか。, 水溶液
T-077,, 水溶液中では、溶質を構成する粒子は動きまわっているか、いないか。, 動きまわっている
T-078,, 自ら光を出しているものを何というか。, 光源
T-079,, 入射光と鏡の面に垂直な線との間にできる角を何というか。, 入射角
T-080,, 反射光と鏡の面に垂直な線との間にできる角を何というか。, 反射角
T-081,, 入射角と反射角が等しくなることを何というか。, 反射の法則
T-082,, 光がでこぼこした面でいろいろな方向に反射することを何というか。, 乱反射
T-083,, 鏡などに物体がうつって見えたものをもとの物体の何というか。, 像
T-084,, 屈折光と、異なる2つの物質の境目に垂直な線との間にできる角を何というか。, 屈折角
T-085,, 光がガラスや水中から空気中に進むとき、入射角がある角度より大きくなると、光が境界面で進まずすべて反射する。この現象を何というか。, 全反射
T-086,, 光が集まる1点を何というか。, 焦点
T-087,, 光が集まる点からレンズの中心までの距離を何というか。, 焦点距離
T-088,, 光が実際に集まってできる像を何というか。, 実像
T-089,, そこから光が出ているように見える像を何というか。, 虚像
T-090,,音を出しているものを何というか。,音源
T-091,,音は空気中を（　）として伝わっている。（　）にあてはまる言葉は何か。,波
T-092,,音の速さを340m/sとしたとき、音は5秒間に何m進むか。,1700m
T-093,,音を出しているものが振動している幅を何というか。,振幅
T-094,,音を出しているものが1秒間に振動する回数を何というか。,振動数,周波数
T-095,,振動数（周波数）の単位は何か。その記号を書きなさい。,Hz
T-096,,振動数（周波数）の数値が大きいほど、音はどうなるか。,高くなる
T-097,,変形したものがもとにもどろうとする性質を何というか。,弾性
T-098,,変形したものがもとにもどろうとする力を何というか。,弾性力
T-099,,物体と物体の間にはたらき、物体の運動をさまたげようとする力を何というか。,摩擦力
T-100,,磁石どおしや磁石と鉄の間ではたらく力を何というか。,磁力
T-101,,地球上のすべての物体にはたらく、地球の中心に向かう力を何というか。,重力
T-102,,ばねののびとばねにはたらく力の関係にある法則を何というか。,フックの法則
T-103,,物体にはたらく力が加わる点を何というか。,作用点
T-104,,場所が変わっても変化しない物体そのものの分量を何というか。,質量
T-105,,一定の面積あたりに垂直にはたらく力の大きさを何というか。,圧力
T-106,,物体を支える面積が2倍になると、圧力の大きさは何倍になるか。,1/2倍,0.5倍
T-107,,大気の重さによって生じる圧力を何というか。,大気圧
T-108,,1気圧は、何hPaか。,1013hPa
T-109,,火山の地下にあり、岩石がとけた状態にある物質を何というか。,マグマ
T-110,,火山の噴火によって、火口から吹き出された、火山の地下にあるものがもとになっている物質を何というか。,火山噴出物
T-111,,火山噴出物のうち主成分が水蒸気の気体を何というか。,火山ガス
T-112,,マグマが火口から流れたものや、それが冷えて固まったものを何というか。,溶岩
T-113,,火山灰や、マグマが冷えてできた岩石などにふくまれる一定の化学組成を持つ物質を何というか。,鉱物
T-114,,セキエイや長石を多くふくむ岩石の色は（　）っぽい。（　）に入る言葉は何か。,白
T-115,,マグマが冷えて固まった岩石を何というか。,火成岩
T-116,,火成岩で地表や地表近くで急に冷やされてできた岩石を何というか。,火山岩
T-117,,火山岩のつくりを、何組織というか。,斑状組織
T-118,,火山岩のつくりで、非常に小さい結晶の集まりやガラス質の部分を何というか。,石基
T-119,,火山岩の中に散らばっている大きな結晶の部分を何というか。,斑晶
T-120,,火成岩で地下深くでゆっくり冷えてできた岩石を何というか。,深成岩
T-121,,深成岩の岩石のつくりを、何組織というか。,等粒状組織
T-122,,地震が発生したとき、地下の岩石の破壊が始まった点を何というか。,震源
T-123,,震源の真上の地表の点を何というか。,震央
T-124,,海底で地震が起こったときに発生し、大きな被害を起こすことがある波を何というか。,津波
T-125,,土地が盛り上がることを何というか。,隆起
T-126,,土地が沈みこむことを何というか。,沈降
T-127,,地震のときの、はじめの小さな揺れを何というか。,初期微動
T-128,,初期微動を引き起こす速い波を何というか。,P波
T-129,,初期微動のあとにくる大きな揺れを何というか。,主要動
T-130,,主要動を引き起こす遅い波を何というか。,S波
T-131,,P波とS波の到着時間の差を何というか。,初期微動継続時間
T-132,,ある地点での、地震による揺れの大きさの程度を何というか。,震度
T-133,,地震の規模の大きさは、何で表されるか。,マグニチュード
T-134,,地球の表面をおおっていて、その動きによって地震が起こると考えられている十数枚の岩盤を何というか。,プレート
T-135,,地表の岩石は、気温の変化や水のはたらきなどによって表面からくずれていく。この現象を何というか。,風化
T-136,,岩石を削る、風や流水のはたらきを何というか。,侵食
T-137,,大きな力によって岩石が割れ、ずれることによってできたくいちがいを何というか。,断層
T-138,,地層に大きな力がはたらき、押し曲げられたものを何というか。,しゅう曲
T-139,,地層の広がりを知る手がかりとなる、特徴のある地層を何というか。,かぎ層,鍵層
T-140,,生物の死がいなどが固まった岩石に塩酸をかけると二酸化炭素を発生する堆積岩を何というか。,石灰岩
T-141,,生物の死がいなどが固まった岩石に塩酸をかけると二酸化炭素を発生しない堆積岩を何というか。,チャート
T-142,,火山灰が堆積してできた堆積岩を何というか。,凝灰岩
T-143,,地層が堆積した時代を推定できる化石を何というか。,示準化石
T-144,,地層が堆積した当時の環境を推定できる化石を何というか。,示相化石
T-145,,古生代、新生代などの地球の歴史の時代区分を何というか。,地質年代
T-146,,海のプレートがつくられる海底の大山脈を何というか。,海嶺
T-147,,日本列島の下に沈み込んでいるプレートは、大陸のプレート、海のプレートどちらか。,海のプレート
T-148,,プレートの境目に見られる、海底の溝状の地形を何というか。,海溝
T-149,,1種類の物質が2種類以上の別の物質に分かれる変化を何というか。,分解
T-150,,分解で、加熱したときに起こるものをとくに何というか。,熱分解
T-151,,分解のように、もとの物質とはちがう別の物質になる変化を何というか。,化学変化,化学反応
T-152,,物質に電流を流して分解することを何というか。,電気分解
T-153,,物質をつくる最小の粒で、それ以上分けることのできないものを何というか。,原子
T-154,,性質がよく似た原子が縦に並ぶようにまとめた表を何というか。,周期表
T-155,,周期表をつくった科学者はだれか。,メンデレーエフ
T-156,,原子がいくつか結びついたもので、その物質の性質を示す最小の粒子を何というか。,分子
T-157,,物質を原子の記号を使って表したものを何というか。,化学式
T-158,,1種類の原子だけでできている物質を何というか。,単体
T-159,,2種類以上の原子からできている物質を何というか。,化合物
T-160,,化学変化を反応式で表した式を何というか。,化学反応式
T-161,,物質が酸素と結びつく化学変化を何というか。,酸化
T-162,,酸化のうち、光や熱を出しながら激しく化合するものを何というか。,燃焼
T-163,,酸化によってできる物質を何というか。,酸化物
T-164,,酸化とは逆の反応で、酸化物から酸素をうばう化学変化を何というか。,還元
T-165,,物質が硫黄と結びつくことをなんというか。,硫化
T-166,,硫化鉄のように、硫化が起こってできる物質をなんというか。,硫化物
T-167,,化学変化の前後で、物質全体の質量は変化しない。この法則を何というか。,質量保存の法則
T-168,,金属と酸素が化合する時、元の金属の質量とできた酸化物の質量にはどのような関係にあるか。,比例,比例関係
T-169,,銅の質量と化合する酸素の質量は、何対何になるか。,4:1,４：１
T-170,,マグネシウムの質量と化合する酸素の質量は、何対何になるか。,3:2,３：２
T-171,,熱を発生し、まわりの温度を上げる化学変化を何というか。,発熱反応
T-172,,熱を吸収し、まわりの温度を下げる化学変化を何というか。,吸熱反応
T-173,,化学変化が起こるときに出入りする熱を何というか。,反応熱
T-174,,細胞にふつう1つあり、染色液によく染まる部分を何というか。,核
T-175,,核のまわりの部分を何というか。,細胞質
T-176,,細胞質の一番外側を包んでいる膜を何というか。,細胞膜
T-177,,植物の細胞で、細胞膜の外側にある丈夫なつくりを何というか。,細胞壁
T-178,,植物の細胞のみに見られる、光合成をするつくりは何か。,葉緑体
T-179,,植物の細胞のみに見られる、貯蔵物質や不要物質が含まれるつくりは何か。,液胞
T-180,,細胞は、酸素と養分を取り入れて、エネルギーを取り出し、二酸化炭素や水を吸収している。このような活動を何というか。,細胞の呼吸,呼吸
T-181,,胃の上皮組織や葉の表皮組織のように、形やはたらきが同じ細胞が集まったものを何というか。,組織
T-182,,胃や葉のように、いくつかの組織が集まって、まとまったはたらきをする部分を何というか。,器官
T-183,,塩化ナトリウムの化学式。,NaCl
T-184,,塩酸の化学式。,HCl
T-185,,酸化銀の化学式。,Ag₂O,Ag2O
T-186,,酸化銅の化学式。,CuO
T-187,,酸化マグネシウムの化学式。,MgO
T-188,,二酸化炭素の化学式。,CO₂,CO2
T-189,,水の化学式。,H₂O,H2O
T-190,,硫化鉄の化学式。,FeS
T-191,,アンモニアの化学式。,NH₃,NH3
T-192,,水酸化ナトリウムの化学式。,NaOH
T-193,,炭酸水素ナトリウムの化学式。,NaHCO₃,NaHCO3
T-194,,炭酸ナトリウムの化学式。,Na₂CO₃,Na2CO3
T-195,,メタンの化学式。,CH₄,CH4
T-196,,塩化カルシウムの化学式。,Cacl₂,CaCl2
T-197,,炭酸カルシウムの化学式。,CaCO₃,CaCO3
T-198,,水素の化学式。,H₂,H2
T-199,,葉に見られる筋のことを何というか。,葉脈
T-200,,葉の細胞の中にある小さな緑色の粒を何というか。,葉緑体
T-201,,葉の表皮に見られる、一対の三日月形の細胞に囲まれたすき間を何というか。,気孔
T-202,,植物のからだから、水が水蒸気となって出ていく現象を何というか。,蒸散
T-203,,植物は、日光を受けてデンプンなどの養分をつくるはたらきを何というか。,光合成
T-204,,光合成で、植物が取り入れる気体は何か。,二酸化炭素,CO₂
T-205,,光合成で、植物が出す気体は何か。,酸素,O₂
T-206,,植物が、動物と同じように酸素をとり入れ二酸化炭素を出すはたらきを何というか。,呼吸
T-207,,根から吸収された水や、水にとけた養分が通る管を何というか。,道管
T-208,,葉でつくられたデンプンなどの養分が、水にとけて根に運ばれて通る管を何というか。,師管
T-209,,道管や師管が集まって束のようになった部分を何というか。,維管束
T-210,,気管支の先端にある小さなうすい膜の袋を何というか。,肺胞
T-211,,血液が心臓から送り出される血管を何というか。,動脈
T-212,,血液が心臓に戻ってくる血管を何というか。,静脈
T-213,,動脈と静脈をつなぐ血管を何というか。,毛細血管
T-214,,血管中の液体（血しょう）の一部が毛細血管の一部からしみ出して、細胞をひたしているものを何というか。,組織液
T-215,,組織液がリンパ管に入ったものを何というか。,リンパ液
T-216,,肺で酸素と結びついて酸素を体中に運ぶのは、赤血球中の何か。,ヘモグロビン
T-217,,体内に入ってきた細菌などを分解する血液の成分は何か。,白血球
T-218,,出血したときに血液を固めるはたらきをするのは何か。,血小板
T-219,,血液が心臓から肺を通って心臓にもどる経路を何というか。,肺循環
T-220,,酸素を多く含む血液。,動脈血
T-221,,二酸化炭素を多く含む血液。,静脈血
T-222,,養分を吸収されやすい形に変えるはたらきを何というか。,消化
T-223,,だ液に含まれるアミラーゼのように、消化液などに含まれていて、養分を分解するものを何というか。,消化酵素
T-224,,細胞の活動によってできた不要な物質を体外に出すはたらきを何というか。,排出
T-225,,手やあしなどの、体を動かす器官を何というか。,運動器官
T-226,,目や皮膚などのように、まわりの状態を刺激として受けとることができる器官を何というか。,感覚器官
T-227,,目の中にある、光の刺激を受けとる細胞がある部分を何というか。,網膜
T-228,,耳の中にある、鼓膜の振動をうずまき管に伝える部分を何というか。,耳小骨
T-229,,感覚器官からの信号を脳やせきずいに伝える神経を何というか。,感覚神経
T-230,,脳やせきずいからの信号を筋肉へ伝える神経を何というか。,運動神経
T-231,,神経系の中で、脳やせきずいからできているものを何というか。,中枢神経
T-232,,神経系の中で、からだのすみずみまでいき渡っている神経を何というか。,末しょう神経,末梢神経
T-233,,刺激に対して、無意識に起こる反応を何というか。,反射
T-234,,熱いやかんにふれたとき、熱いと感じる前に手を引っ込めた。このとき、命令の信号を出した器官はどこか。,せきずい,脊髄
T-235,,摩擦によって生じる電気を何というか。,静電気
T-236,,物質の中にある、－（マイナス）の電気を持っている小さな粒を何というか。,電子
T-237,,圧力の小さな空気中に電流が流れる現象を何というか。,真空放電
T-238,,クルックス管に電圧をかけたときに、蛍光板を光らせる電子の流れを何というか。,電子線,陰極線
T-239,,電子は、何極から何極へ向かって流れるか。,－極から＋極
T-240,,電流の流れる道が1つの輪になるようにつないである回路を何というか。,直列回路
T-241,,電流の流れる道が途中で分かれるようにつないである回路を何というか。,並列回路
T-242,,電流計は回路に対して直列につなぐか、並列につなぐか。,直列につなぐ
T-243,,直列回路のとき、はかる場所によって電流計の値は変わるか、変わらないか。,変わらない
T-244,,並列回路のとき、はかる場所によって電流計の値は変わるか、変わらないか。,変わる
T-245,,電流を流そうとするはたらきの大きさを表す量を何というか。,電圧
T-246,,電圧計は回路に対して直列につなぐか、並列につなぐか。,並列につなぐ
T-247,,かかる電圧が大きくなると、流れる電流の大きさも比例して大きくなることを何の法則というか。,オームの法則
T-248,,電流の流れにくさを何というか。,抵抗
T-249,,電流が流れる物質を何というか。,導体
T-250,,電流が流れない物質を何というか。,不導体,絶縁体
T-251,,光や音を出すなど、いろいろなはたらきができる状態にあることを、何をもっているというか。,エネルギー
T-252,,電気がもっているエネルギーを何というか。,電気エネルギー
T-253,,単位時間あたりに使う電気エネルギーを何というか。,電力
T-254,,1Wの電力で、1秒間電流を流したときの電気エネルギーは何Jか（単位も）。,1J
T-255,,1gの水を1℃上昇させるのに必要な熱量は約何Jか（単位も）。,4.2J
T-256,,電力と時間の積で表される、使った電気エネルギーの総量を何というか。,電力量
T-257,,磁石や電磁石がもつ、鉄を引きつけたり、方位磁針に影響をあたえたりする力を何というか。,磁力
T-258,,はたらく空間のことを何というか。,磁界
T-259,,方位磁針を置いたとき、N極がさす向きを何というか。,磁界の向き
T-260,,N極がさす向きにそってかいた曲線を何というか。,磁力線
T-261,,磁界の間隔が広いところほど、磁力の大きさは大きくなるか、小さくなるか。,小さくなる
T-262,,コイルなどのように、電流を流すと磁界をつくるものを何というか。,電磁石
T-263,,コイルに磁石を近づけたり遠ざけたりすると電流が流れる現象を何というか。,電磁誘導
T-264,,電磁誘導によって流れる電流を何というか。,誘導電流
T-265,,電流の向きや大きさが変わらない電流を何というか。,直流電流
T-266,,電流の向きや大きさが周期的に変化する電流を何というか。,交流電流
T-267,,交流電流を直流電流に変える装置を何というか。,ACアダプター
T-268,,交流電流の向きが1秒間に変化する回数を何というか。,周波数
T-269,,電磁石のまわりにできる磁界は、コイルの巻数を減らすとどうなるか。,弱くなる
T-270,,電磁石のまわりにできる磁界は、電流を大きくするとどうなるか。,強くなる
T-271,,電磁石に流れる電流の向きを変えると、できる磁界の向きはどうなるか。,逆になる
T-272,,大気中で起こるさまざまな自然現象を何というか。,気象
T-273,,気温が20℃で湿度が100%のとき、露点は何℃か。,20℃
T-274,,空気が冷やされ、水滴ができ始める温度を何というか。,露点
T-275,,空気中にふくむことのできる水蒸気の最大の量を何というか。,飽和水蒸気量
T-276,,地上にあった空気が上昇し、冷やされることで露点に達し、細かい水滴や氷の粒が現れたものを何というか。,雲
T-277,,地表付近にできた雲を何というか。,霧
T-278,,上昇する空気の流れを何というか。,上昇気流
T-279,,観測した気象を記号で地図上に書き入れたものを何というか。,天気図
T-280,,気圧が等しいところを結んだ曲線を何というか。,等圧線
T-281,,周りより気圧が高いところを何というか。,高気圧
T-282,,気圧・温度がほぼ一様な空気のかたまりを何というか。,気団
T-283,,前線面が地上と接したところを何というか。,前線
T-284,,暖気が寒気の上をはい上がる形の前線を何というか。,寒冷前線
T-285,,歓喜が暖気を激しくおし上げる形の前線を何というか。,温暖前線
T-286,,低気圧で、寒冷前線が温暖前線に追いついたときにできる前線を何というか。,閉塞前線
T-287,,海と陸の温まり方の違いで海岸付近にふく風を何というか。,海陸風
T-288,,日本の上空にふく強い西風を何というか。,偏西風
T-289,,大陸高気圧で、冬に日本をおおう、寒冷で乾燥した気団を何というか。,シベリア気団
T-290,,太平洋高気圧で、夏に日本をおおう、高温で湿った気団を何というか。,小笠原気団
T-291,,初夏などにオホーツク海上で発達する、低温で湿った気団を何というか。,オホーツク海気団
T-292,,秋と冬の天気で、低気圧と（　）が次々と日本列島付近を通過する。（　）とは何か。,移動性高気圧
T-293,,熱帯低気圧のうち、中心付近の最大風速が毎秒17.2m以上になったものを何というか。,台風
T-294,,日本の冬に見られる、大陸の気圧が高く太平洋の気圧が低い気圧配置を何というか。,西高東低
T-295,,水中に加わる上向きの力を何というか。,浮力
T-296,,物体を水中に少しずつ入れていくと水圧の大きさはどうなるか。,大きくなる
T-297,,浮力の大きさは、水の深さによって変わるか、変わらないか。,変わらない
T-298,,水中にある物体に加わる、水による圧力を何というか。,水圧
T-299,,面に接した物体が、面から垂直にうける力を何というか。,垂直抗力
T-300,,2つの力と同じはたらきをする1つの力を求めることを何というか。,力の合成
T-301,,力の合成によってできた力を何というか。,合力
T-302,,1つの力を同じはたらきをする2つの力に分けることを何というか。,力の分解
T-303,,力の分解で分けた力をもとの力の何というか。,分力
T-304,,物体が一定の速さで運動したと考えたときの速さを何というか。,平均の速さ
T-305,,ごく短い時間に移動した距離を、その時間でわって求めた速さを何というか。,瞬間の速さ
T-306,,物体が真下に落下する運動を何というか。,自由落下運動,自由落下
T-307,,速さが変わらず、一直線上を動く運動を何というか。（漢字）,等速直線運動
T-308,,物体に力がはたらかないとき、または力がつり合っているとき、静止している物体はいつまでも静止し、運動している物体はいつまでも等速直線運動を続ける性質をもつことを何の法則というか。,慣性の法則
T-309,,物体に力がはたらかないとき、または力がつり合っているとき、静止している物体はいつまでも静止し、運動している物体はいつまでも等速直線運動を続ける性質をもつ。このような性質を何というか。,慣性
T-310,,物体Aが物体Bから受けた力を反作用とするとき、物体Aが物体Bに加えた力を何というか。,作用
T-311,,物体に力を加え、力の向きに動かしたとき、力は物体に何をしたというか。,仕事
T-312,,道具を使って仕事をすると、力は小さくなるが距離が長くなり仕事は変わらない。これを何というか。,仕事の原理
T-313,,仕事ができる状態にある物体は何をもっているというか。,エネルギー
T-314,,高いところにある物体がもっているエネルギーを何というか。,位置エネルギー
T-315,,運動している物体がもっているエネルギーを何というか。,運動エネルギー
T-316,,位置エネルギーと運動エネルギーの和を何というか。,力学的エネルギー
T-317,,摩擦力がはたらかない場合、力学的エネルギーは一定に保たれる。これを何というか。,力学的エネルギーの保存,力学的エネルギー保存の法則
T-318,,変形したゴムやばねがもつエネルギーを何というか。,弾性エネルギー
T-319,,電気がもつエネルギーを何というか。,電気エネルギー
T-320,,熱がもつエネルギーを何というか。,熱エネルギー
T-321,,光がもつエネルギーを何というか。,光エネルギー
T-322,,燃料となる物質がもつエネルギーを何というか。,化学エネルギー
T-323,,原子核の状態の変化に関係しているエネルギーを何というか。,核エネルギー
T-324,,エネルギーが移り変わる前後で、エネルギーの総量は一定に保たれる。これを何というか。,エネルギーの保存,エネルギー保存の法則
T-325,,消費したエネルギーに対する、利用できるエネルギーの割合を何というか。,エネルギー変換効率
T-326,,温度の異なる物体が接しているとき、高温側から低温側へ熱が伝わることを何というか。,熱伝導,伝導
T-327,,液体や気体が循環することで熱が伝わる現象を何というか。,対流
T-328,,高温の物体から赤外線などが出て、離れた物体へ熱が伝わる現象を何というか。,熱放射,放射
T-329,,1個の細胞が2つに分かれることを何というか。,細胞分裂
T-330,,細胞の核の中にあるひものようなものを何というか。,染色体
T-331,,染色体が2つに分かれ、元の細胞と同じ数の染色体が2つの細胞の核となる細胞分裂を何というか。,体細胞分裂
T-332,,体細胞分裂を行って子をつくる生殖を何というか。,無性生殖
T-333,,生殖を行うための特別な細胞を何というか。,生殖細胞
T-334,,生殖細胞によって子をつくる生殖を何というか。,有性生殖
T-335,,無性生殖のうち、植物の体の一部から新しい個体をつくることを何というか。,栄養生殖
T-336,,被子植物の花粉の中にある生殖細胞を何というか。,精細胞
T-337,,被子植物の胚珠の中にある生殖細胞を何というか。,卵細胞
T-338,,2つの生殖細胞の核が合体することを何というか。,受精
T-339,,受精してから、親と同じような体に成長していく過程を何というか。,発生
T-340,,動物の雌の生殖細胞がつくられる器官を何というか。,卵巣
T-341,,動物の雌の生殖細胞を何というか。,卵
T-342,,動物の雄の生殖細胞がつくられる器官を何というか。,精巣
T-343,,動物の雄の生殖細胞を何というか。,精子
T-344,,生殖細胞ができるときに行われる、染色体の数が半分になる特別な細胞分裂を何というか。,減数分裂
T-345,,生物の特徴となる形や性質を何というか。,形質
T-346,,親の形質が子や孫に伝わることを何というか。,遺伝
T-347,,形質を表すもとになるものを何というか。,遺伝子
T-348,,エンドウの種子の丸としわのように、どちらか一方にしか現れない形質を何というか。,対立形質
T-349,,減数分裂のとき、対になっている親の遺伝子が分かれて別々の生殖細胞に入ることを何というか。,分離の法則
T-350,,対立形質のもつ純系どうしを受粉させたとき、子に現れる形質を何というか。,優性の形質,顕性の形質
T-351,,対立形質のもつ純系どうしを受粉させたとき、子に現れない形質を何というか。,劣性の形質,潜性の形質
T-352,,遺伝子の本体である物質を何というか。英語ではなく、カタカナと漢字の組み合わせの名前の方を書きなさい。,デオキシリボ核酸
T-353,,コウモリの翼とクジラの胸びれのように、もとは同じものから変化したと考えられる器官を何というか。,相同器官
T-354,,生物と環境を1つのまとまりと考えたものを何というか。,生態系
T-355,,生物どうしの食べる・食べられるという関係を何というか。,食物連鎖
T-356,,無機物から有機物をつくる生物を生態系の中で何と呼ぶか。,生産者
T-357,,土の中の食物連鎖では、何が出発点となっているか。,生物の死骸,生物の死がい
T-358,,生物どうしの食べる・食べられるという関係が網目状に複雑に入り組んだものを何というか。,食物網
T-359,,肉眼で見ることができない小さな生物を何というか。,微生物
T-360,,微生物のうち、カビ・キノコのなかまを何というか。,菌類
T-361,,微生物のうち、乳酸菌や納豆菌のなかまを何というか。,細菌類
T-362,,微生物が有機物と無機物に分解するとき、何というはたらきを行うか。,呼吸
T-363,,有機物を無機物にする土の中の小動物や微生物を生態系の中で何というか。,分解者
T-364,,水に溶かしたときに電流が流れる物質を何というか。,電解質
T-365,,水に溶かしたときに電流を流しても電流が流れない物質を何というか。,非電解質
T-366,,塩酸の電気分解で、陰極から発生する物質は何か。化学式を書きなさい。,H₂,H2
T-367,,塩化銅水溶液の電気分解で、陽極から発生する物質は何か。化学式を書きなさい。,Cl₂,Cl2
